a1	阿啊呵腌吖錒
ga3	嘎尕
ga4	尬
gai1	該賅垓陔
gai3	改
gai4	概蓋丐鈣芥溉戤
gan1	幹甘肝桿尷乾竿坩苷柑泔矸疳酐
gan2	趕敢
gan3	感敢趕桿橄稈搟澉
gan4	幹贛淦紺旰
gang1	剛鋼綱缸扛杠岡肛罡剛
gang3	港崗
gang4	鋼杠戇筻
gao1	高糕膏臯羔睪篙橰
gao3	稿搞槁槁縞鎬杲
gao4	告膏誥郜鋯
ge1	歌格哥戈割胳擱疙咯鴿屹仡圪紇袼
ge2	革格隔葛閣胳擱蛤嗝骼頜搿膈鎘塥鬲噶
ge3	個各合蓋葛哿舸
ge4	個各鉻硌虼個
gei3	筆
gen1	根跟
gen2	哏
gen3	艮
gen4	亙艮茛
geng1	更耕庚羹賡
geng3	耿頸梗哽鯁埂綆
geng4	更
gong1	工公共紅供功攻宮恭躬龔弓肱蚣觥
gong3	鞏拱汞珙
gong4	共供貢
gou1	句溝勾鉤篝佝枸緱鞲
gou3	狗茍岣枸笱
gou4	夠購構勾覯垢詬媾遘彀
gu1	姑骨孤估辜咕呱箍沽菇軲鴣轂菇蛄酤觚
gu2	骨古鼓谷
gu3	古股鼓骨谷賈汩蠱轂鵠牯臌詁瞽罟鈷嘏蛄鶻
gu4	故顧固估雇錮梏牿崮痼鯝
gua1	括瓜刮呱栝胍鴰
gua3	寡呱剮
gua4	掛褂卦詿
guai1	乖摑
guai3	拐
guai4	怪
guan1	關觀官冠棺矜莞倌綸鰥
guan3	管館莞
guan4	觀慣冠貫罐灌摜盥涫鸛
guang1	光咣胱桄
guang3	廣獷
guang4	逛桄
gui1	規歸瑰龜矽閨皈傀圭媯鮭
gui3	鬼軌詭癸匭庋宄晷簋
gui4	貴桂跪櫃劊炔劌檜炅鱖匱
gun3	滾鯀袞緄滾輥
gun4	棍
guo1	過鍋郭渦聒蟈崞堝咼
guo2	國幗摑馘虢
guo3	果裹猓槨蜾
guo4	過過
ha1	哈鉿
ha2	蝦蛤
ha3	哈
ha4	哈
hai1	嘿咳嗨
hai2	下
hai3	海胲醢
hai4	害亥駭氦
han1	酣憨頇鼾蚶
han2	含寒汗韓涵函晗焓邯邗
han3	喊罕闞
han4	漢汗憾翰撼旱捍悍瀚焊頷菡撖
hang1	夯
hang2	行航吭杭絎珩頏
hang4	行巷沆
hao1	蒿薅嚆
hao2	號毫豪嚎壕貉嗥濠蠔好
hao3	好郝
hao4	好號浩耗皓昊灝鎬顥
he1	喝呵訶嗬
he2	和何合河核盒禾荷閡涸闔貉曷頜劾菏盍紇蚵翮
he4	和何喝赫嚇賀荷鶴壑褐
hei1	黑嘿嗨
hen2	痕很
hen3	很狠
hen4	恨
heng1	哼亨
heng2	橫衡恒蘅珩桁
heng4	橫
heng5	哼
hong1	轟哄烘薨訇
hong2	紅洪鴻宏虹弘泓閎蕻黌葒
hong3	哄
hong4	哄訌蕻
hou2	侯喉猴瘊篌糇骺
hou3	吼
hou4	後候後厚侯逅堠鱟
hu1	乎呼戲忽糊惚唿滹軤烀
hu2	和胡湖糊核壺狐葫弧蝴囫瑚斛鵠醐猢槲鶘觳糊鶻
hu3	虎滸唬琥
hu4	護戶互糊虎滬祜扈戽笏岵怙瓠鸌冱
hua1	華化花嘩砉
hua2	華劃滑嘩豁猾驊鏵
hua4	話華化劃畫樺
huai2	懷徊淮槐踝
huai4	壞
huai5	劃
huan1	歡獾
huan2	還環寰鬟桓圜洹郇繯鍰萑
huan3	緩
huan4	換患幻喚宦煥瘓渙浣奐擐豢漶逭鯇
huang1	荒慌肓
huang2	黃皇煌惶徨璜簧凰潢蝗蟥遑隍磺癀湟篁鰉黃
huang3	晃恍謊幌
huang4	晃
hui1	揮輝灰恢徽墮詼暉麾琿噅虺隳
hui2	回徊蛔茴洄
hui3	毀悔虺
hui4	會匯惠慧潰繪諱賄晦穢誨彗燴薈卉喙恚澮噦繢檜蕙蟪
hun1	婚昏葷閽
hun2	混魂渾餛琿
hun4	混諢溷
huo1	豁劐攉鍃耠
huo2	和活火
huo3	火夥夥鈥
huo4	和或獲貨禍惑霍豁藿謔鑊蠖
ji1	其幾期機基擊奇激積雞跡績饑緝圾姬磯肌譏嘰稽畸躋羈嵇唧畿齏箕屐剞璣賫犄墼芨丌咭笄乩績
ji2	及即輯級極集急籍吉疾嫉藉脊棘汲岌笈瘠詰亟楫蒺殛佶戢脊蕺給圾
ji3	幾給己革濟紀擠脊戟蟣掎麂
ji4	記系計濟寄際技紀繼既齊季寂祭忌劑冀妓驥薊悸伎暨霽稷偈鯽髻覬薺跽嚌鱭洎芰跡績
jia1	下
jia2	夾頰戛莢郟恝鋏袷蛺浹
jia3	假甲賈胛岬鉀嘏瘕
jia4	價假架駕嫁稼
jia5	家
jian1	間堅監漸兼艱肩淺尖奸濺煎殲緘箋菅蒹搛湔縑戔犍鶼鰹韉
jian3	簡減檢剪撿揀儉堿繭柬蹇謇鹼瞼鐧梘戩譾囝襇筧翦趼
jian4	見間件建監漸健劍鍵薦鑒踐艦箭賤濺檻諫僭澗餞毽鐧楗腱牮踺
jiang1	將江疆姜漿僵韁茳礓豇
jiang3	講獎蔣槳耩蔣
jiang4	將強降醬漿虹匠犟絳洚糨
jiao1	教交焦驕郊膠椒嬌澆姣跤蕉礁鮫僬鷦蛟艽茭
jiao2	嚼矯腳
jiao3	角腳攪繳絞餃矯佼狡剿僥皎撟僥湫敫鉸
jiao4	教覺校叫較轎嚼窖酵噍嶠僥醮
jie1	接結節街階皆揭楷嗟稭癤喈
jie2	結節傑捷截潔劫竭睫桔拮孑詰桀碣偈頡訐婕羯鮚解結
jie3	解姐
jie4	界解價介借戒屆藉誡芥疥蚧骱
jie5	姐
jin1	今金禁津斤筋巾襟矜衿
jin3	盡僅緊謹錦瑾饉巹廑堇槿
jin4	進近盡僅禁勁晉浸靳縉燼噤覲藎贐妗
jing1	經京精驚睛晶荊兢鯨涇旌莖腈菁粳
jing3	警景井頸憬阱儆剄肼
jing4	經境竟靜敬鏡勁競凈徑靖痙逕脛弳婧獍靚
jiong1	扃
jiong3	窘炯迥炅囧
jiu1	究糾揪鳩赳啾鬮鬏
jiu3	九
jiu4	就舊救疚舅咎臼鷲僦廄桕柩
ju1	車據且居俱拘駒鞠鋸趄掬疽裾苴椐鋦狙琚雎鞫蜛沮
ju2	局菊桔橘鋦舉
ju3	舉櫃矩咀沮踽齟櫸莒枸
ju4	據句具劇巨聚拒距俱懼沮瞿鋸炬颶踞遽倨鉅犋屨榘窶詎醵苣
juan1	捐圈娟鵑涓鐫蠲
juan3	卷錈
juan4	圈卷倦眷雋絹狷棬鄄劵
jue1	嗟撅撅
jue2	覺絕決角腳嚼掘訣崛爵抉倔獗厥蹶攫譎矍孓橛噱玨桷劂爝鐝蕨觖
jue3	蹶
jue4	倔
jun1	軍均君鈞筠龜菌皸麇
jun4	俊峻雋菌郡駿竣捃浚
ka1	咖喀哢
ka3	卡咯哢佧胩
kai1	開揩鐦
kai3	慨凱鎧楷愷蒈剴塏鍇
kai4	愾
kan1	看刊堪勘龕戡
kan3	侃砍坎檻莰
kan4	看嵌瞰闞磡
kang1	康慷糠閌
kang2	扛
kang4	抗炕亢伉閌鈧
kao1	尻
kao3	考烤拷栲
kao4	靠銬犒
ke1	科顆柯呵棵苛磕坷嗑瞌軻稞屙蝌鈳窠頦珂髁
ke2	咳殼頦可
ke3	可渴坷軻岢
ke4	克客刻課恪嗑溘騍緙氪錁蚵科可
ken3	肯懇啃墾齦
ken4	裉
keng1	坑吭鏗
kong1	空倥崆箜
kong3	恐孔倥
kong4	空控
kou1	摳芤瞘
kou3	口
kou4	扣寇叩蔻筘
ku1	哭枯窟骷刳堀
ku3	苦
ku4	庫褲酷嚳絝
kua1	誇
kua3	垮侉
kua4	跨挎胯
kuai3	蒯
kuai4	快塊筷膾會噲儈獪澮鄶
kuan1	寬髖
kuan3	款
kuang1	框筐匡哐誆
kuang2	狂誑
kuang3	夼
kuang4	況礦框曠眶鄺壙纊貺況
kui1	虧窺盔巋悝
kui2	魁睽逵葵奎馗夔喹隗暌揆蝰
kui3	傀跬
kui4	愧潰饋匱喟聵簣蕢憒
kun1	昆坤鯤錕醌琨髡
kun3	捆悃閫
kun4	困
kuo4	括適闊擴廓栝蛞
la1	拉啦喇垃邋
la2	拉喇旯砬
la3	拉喇
la4	落拉辣臘蠟剌瘌
la5	啦
lai2	來萊徠淶崍錸來
lai4	賴睞癩籟賚瀨
lan2	蘭藍欄攔籃瀾婪嵐斕闌襤鑭讕
lan3	懶覽攬欖纜漤罱懶
lan4	爛濫
lang1	啷
lang2	狼郎廊瑯螂榔鋃稂閬
lang3	朗
lang4	浪郎莨蒗閬
lao1	撈
lao2	勞牢嘮嶗鐒癆醪老
lao3	老姥佬潦栳銠
lao4	落絡嘮烙酪澇耮
lao5	姥
le1	肋
le4	樂勒仂叻泐鰳
le5	了
lei1	勒擂
lei2	累雷擂羸鐳嫘縲檑蕾
lei3	累蕾壘磊儡誄耒
lei4	類淚累擂肋酹
lei5	嘞
leng1	棱
leng2	楞棱塄冷
leng3	冷
leng4	楞
li1	哩
li2	離麗黎璃漓貍梨籬犁厘罹藜驪蜊黧縭喱鸝嫠蠡鱺蘺理禮離嚟
li3	筆
li4	力利立歷例麗勵厲莉笠粒俐栗隸吏瀝靂蒞戾儷礪痢酈詈荔櫪嚦唳猁溧礫櫟轢傈壢藶癘癧蠣鬲篥糲躒
li5	璃哩莉里
lia3	倆
lian2	聯連憐蓮廉簾漣鐮褳濂臁奩蠊鰱
lian3	臉斂璉蘞襝
lian4	練戀煉鏈殮楝瀲
liang2	量良梁涼糧粱踉莨椋墚兩
liang3	兩倆魎
liang4	量亮輛涼諒晾踉靚
liao1	撩撂
liao2	聊療遼僚寥撩撂繚寮燎嘹獠鷯了
liao3	了潦燎蓼釕
liao4	了料廖鐐撩撂尥釕
lie1	咧
lie3	裂咧
lie4	列烈裂劣獵趔冽洌捩埒躐鬣
lie5	咧
lin2	林臨鄰琳淋霖麟鱗磷嶙轔粼遴啉瞵
lin3	凜懍檁廩
lin4	淋吝躪賃藺膦
lin1	拎
ling2	零
ling3	領令嶺
ling4	令另呤
liu1	溜溜
liu2	留流劉瘤榴瀏硫琉遛餾鎦旒騮鎏柳
liu3	柳綹鋶
liu4	六溜碌遛餾鎦鷚
lo5	咯
long1	隆
long2	龍隆籠朧嚨聾瓏窿蘢櫳瀧礱癃
long3	籠攏壟隴壟
long4	弄
lou1	摟
lou2	樓嘍僂婁髏螻蔞耬
lou3	摟簍嶁
lou4	露陋漏鏤瘺
lou5	嘍
lu1	嚕擼
lu2	盧爐廬蘆顱瀘轤鱸壚臚鸕艫櫨
lu3	魯蘆鹵虜擄櫓鑥
lu4	六路陸錄露綠鹿碌祿轆麓賂漉戮簏鷺潞璐輅淥蓼逯
lu5	轤氌嚕
lv3	旅履屢侶縷呂捋鋁僂褸膂穭
lv4	律綠率慮濾氯緑
lv5	驢櫚閭率
luan2	巒攣孿欒鑾灤鸞孌臠
luan3	卵
luan4	亂
lve3	掠
lve4	略掠鋝
lun1	掄
lun2	論輪倫淪侖掄圇綸
lun4	論
luo1	落羅捋啰
luo2	羅邏蘿螺鑼籮騾玀欏腡鏍
luo3	裸倮蠃瘰
luo4	落絡洛駱咯摞烙珞濼漯犖硌雒
luo5	羅
m2	嘸
ma1	媽麻摩抹螞嬤
ma2	嗎麻蟆馬瑪
ma3	馬嗎碼瑪螞獁
ma4	罵螞嘜榪獁
ma5	麽嗎嘛媽嗎
mai2	埋霾
mai3	買蕒買
mai4	賣麥邁脈勱
man1	顢
man2	蠻饅瞞埋蔓謾鰻鞔滿
man3	滿蟎
man4	慢漫曼蔓謾墁幔縵熳鏝
mang2	忙茫盲芒氓邙硭
mang3	莽蟒漭
mao1	貓貓
mao2	毛貓矛茅髦錨牦旄蝥蟊茆
mao3	卯鉚峁泖昴
mao4	冒貿帽貌茂耄瑁懋袤瞀貿
me5	麽麼麼
mei2	沒眉梅媒枚煤黴玫糜酶莓嵋湄楣猸鎇鶥美每沒
mei3	美每鎂浼
mei4	妹魅昧謎媚寐袂
men1	悶
men2	門捫鍆
men4	悶懣燜
men5	們們
meng1	蒙
meng2	蒙盟朦氓萌檬瞢甍礞虻艨濛
meng3	蒙猛勐懵蠓蜢錳艋
meng4	夢孟
mi1	瞇咪
mi2	迷彌謎靡糜醚麋獼禰縻蘼米
mi3	米瞇靡弭敉脒羋
mi4	密秘覓蜜謐泌汨宓冪嘧
mian2	棉眠綿
mian3	免緬勉靦冕娩澠湎沔眄黽
mian4	面
miao1	喵
miao2	描苗瞄鶓
miao3	秒渺藐緲渺杪邈眇
miao4	妙廟繆
mie1	乜咩
mie4	滅蔑篾蠛
min2	民瑉岷緡玟苠
min3	敏憫閩泯皿抿閔湣黽鰵
ming2	名明鳴盟銘冥茗溟瞑暝螟
ming3	酩
ming4	命
miu4	謬繆
mo1	摸
mo2	無模麼磨摸摩魔膜蘑饃摹
mo3	抹
mo4	莫陌磨末默沫漠寞沒墨茉
mo5	寞沫
mu3	拇牡畝姆母姥
mu4	墓暮幕募慕木目睦牧穆沐
na2	拿哪
na3	哪
na4	吶鈉那娜納衲
na5	吶
nai3	氖乃奶妳
nai4	耐奈
nan2	南男難楠喃
nan3	腩蝻赧
nan4	難
nang2	囊
nao1	孬
nao2	撓
nao3	腦惱
nao4	鬧淖
ne2	哪
ne5	呢
nei3	餒
nei4	內
nen4	嫩
neng2	能
ni1	妮
ni2	霓倪泥尼
ni3	你
ni4	匿膩逆溺昵
nian1	蔫拈
nian2	年粘黏拈鯰
nian3	碾攆撚
nian4	念
niang2	娘
niang4	釀
niao3	鳥裊嬲
niao4	尿
nie1	捏㖏
nie4	聶孽嚙鑷鎳涅
nin2	您
ning2	檸獰凝寧擰嚀
ning3	擰
ning4	擰濘寧
niu2	牛
niu3	扭鈕紐
niu4	拗
nong1	濃膿
nong2	濃農儂
nong4	弄
nu2	奴孥
nu3	努弩
nu4	怒
nv3	女釹
nuan3	暖
nue4	虐瘧
nuo2	挪儺娜
nuo4	懦糯諾
o2	哦
o5	哦
ou1	歐鷗毆甌嘔歐
ou3	藕嘔偶
ou4	漚
pa1	啪趴爬葩
pa2	爬琶杷
pa4	帕怕
pa5	琶杷
pai1	拍
pai2	排牌徘
pai4	湃派
pan1	攀潘
pan2	盤胖磐
pan4	盼畔判叛
pang1	乓
pang2	龐旁螃仿
pang3	耪
pang4	胖
pao1	拋
pao2	咆袍刨庖
pao3	跑
pao4	炮泡
pei1	呸胚
pei2	培裴賠陪
pei4	配佩沛
pen1	噴
pen2	盆
peng1	砰抨烹
peng2	澎彭蓬棚硼篷膨朋鵬芃
peng3	捧
peng4	碰
peng5	篷蓬
pi1	坯砒霹批披劈丕
pi2	皮琵毗啤脾疲枇鈹貔
pi3	匹痞癖
pi4	僻屁譬辟媲
pian1	篇偏片翩
pian2	駢
pian4	片騙
piao1	飄漂
piao2	瓢樸嫖漂
piao3	瞟
piao4	漂票嫖
pie1	撇瞥
pie3	撇瞥
pin1	拼拚
pin2	頻貧品嬪
pin3	品
pin4	聘
ping1	乒娉
ping2	坪蘋萍平憑瓶評屏
po1	坡潑頗
po2	婆鄱
po3	頗叵
po4	破魄迫粕樸珀
pou1	剖
pu1	撲鋪仆噗
pu2	仆莆葡菩蒲譜濮璞
pu3	普譜埔樸圃浦
pu4	鋪曝瀑
qi1	七欺棲漆妻淒柒沏戚桼
qi2	其旗琪騎騏棋歧岐琦齊奇祁祺麒起祈淇芪锜臍綦鰭圻
qi3	起啟企豈祈乞綺杞
qi4	棄氣器汽戚泣砌契訖
qia1	掐葜袷恰
qia3	卡
qia4	恰洽髂
qian1	千簽牽遷謙鉛騫慳芊愆阡仟岍扡僉搴褰釬
qian2	前錢潛乾虔鉗掮黔蕁鈐犍箝
qian3	淺遣譴繾膁
qian4	欠歉纖嵌倩塹茜芡慊槧
qiang1	將槍搶腔嗆鏘蹌羌戕戧鏹蜣錆
qiang2	強墻薔檣嬙
qiang3	強搶繈鏹羥
qiang4	嗆蹌熗戧
qiao1	悄敲雀鍬蹺橇繰磽劁
qiao2	橋喬僑瞧翹蕉憔樵嶠譙蕎鞽
qiao3	悄巧雀愀
qiao4	翹俏竅殼峭撬鞘誚譙
qie1	切
qie3	且
qie4	切竊怯趄妾砌愜鍥挈郄篋慊
qin1	親欽侵衾
qin2	琴秦勤芹擒矜覃禽噙廑溱檎嗪芩螓
qin3	寢
qin4	沁撳唚
qing1	青清輕傾卿氫蜻圊鯖
qing2	情晴擎氰檠黥
qing3	請頃謦檾
qing4	親慶罄磬箐綮
qiong2	窮瓊穹煢邛蛩筇跫銎
qiu1	秋邱丘龜蚯鰍楸湫
qiu2	求球仇囚酋裘虬俅遒賕泅逑犰蝤巰鼽
qiu3	糗
qu1	區曲屈趨驅軀覷嶇蛐祛蛆麯詘黢
qu2	渠瞿衢臒劬璩氍朐磲鴝蕖蠼蘧取佢
qu3	取曲娶齲苣
qu4	去趣覷闃
qu5	戌去
quan1	圈悛
quan2	全權泉拳詮顴蜷荃銓痊醛輇筌鬈權
quan3	犬綣畎
quan4	勸券
que1	缺闕炔
que2	瘸
que4	卻確雀榷鵲闋闕愨
qun1	逡
qun2	群裙麇
ran2	然燃髯蚺
ran3	染冉苒
rang1	嚷
rang2	瓤禳穰
rang3	嚷攘壤
rang4	讓
rao2	饒嬈橈蕘
rao3	擾繞嬈
rao4	繞
re3	若惹喏
re4	熱
ren2	人任仁壬
ren3	忍稔荏
ren4	任認韌刃紉飪仞葚妊軔衽恁
ren5	人
reng1	扔
reng2	仍
ri4	日
rong2	容榮融蓉溶絨熔榕戎嶸茸狨肜蠑
rong3	冗
rou2	柔揉蹂糅鞣
rou4	肉
ru2	如儒茹嚅濡孺蠕薷銣襦顬乳
ru3	辱乳汝
ru4	入褥縟洳溽蓐
ruan3	軟阮朊
rui2	蕤
rui3	蕊
rui4	瑞銳芮睿枘蚋
run4	潤閏
ruo4	若弱偌箬
sa1	撒仨挲
sa3	灑撒
sa4	薩卅颯脎
sai1	思塞腮鰓噻
sai4	賽塞
san1	三毿
san3	散傘饊糝霰
san4	散
sang1	喪桑
sang3	嗓搡磉顙
sang4	喪
sao1	騷搔臊繰繅鰠
sao3	掃嫂
sao4	掃梢臊埽瘙
se4	色塞澀瑟嗇銫穡
sen1	森
seng1	僧
sha1	殺沙剎紗杉莎煞砂挲鯊痧裟鎩
sha3	傻
sha4	沙啥廈煞霎嗄歃唼
shai1	篩釃
shai3	色
shai4	曬
shan1	山衫刪煽扇珊杉柵跚姍潸膻芟埏釤舢苫髟
shan3	閃陜摻
